Time (min)	Value (mAU)
0.54	-0.011575
0.541667	-0.008102
0.543333	-0.006504
0.545	-0.005946
0.546667	-0.00555
0.548333	-0.004915
0.55	-0.004307
0.551667	-0.00443
0.553333	-0.005398
0.555	-0.006312
0.556667	-0.006331
0.558333	-0.005611
0.56	-0.004901
0.561667	-0.004918
0.563333	-0.005942
0.565	-0.007276
0.566667	-0.007424
0.568333	-0.005588
0.57	-0.002671
0.571667	-0.000301
0.573333	0.000581
0.575	0.000043
0.576667	-0.001189
0.578333	-0.002365
0.58	-0.002997
0.581667	-0.002784
0.583333	-0.002031
0.585	-0.001584
0.586667	-0.001663
0.588333	-0.001333
0.59	0.000763
0.591667	0.005141
0.593333	0.010525
0.595	0.014507
0.596667	0.015448
0.598333	0.013472
0.6	0.009882
0.601667	0.006257
0.603333	0.003922
0.605	0.003158
0.606667	0.002949
0.608333	0.002252
0.61	0.000976
0.611667	-0.000547
0.613333	-0.001988
0.615	-0.00294
0.616667	-0.003375
0.618333	-0.003874
0.62	-0.004831
0.621667	-0.005903
0.623333	-0.006479
0.625	-0.006441
0.626667	-0.006242
0.628333	-0.006085
0.63	-0.00562
0.631667	-0.004794
0.633333	-0.003974
0.635	-0.002979
0.636667	-0.000995
0.638333	0.002275
0.64	0.005824
0.641667	0.007984
0.643333	0.007858
0.645	0.005877
0.646667	0.002918
0.648333	-0.000653
0.65	-0.005029
0.651667	-0.010201
0.653333	-0.015411
0.655	-0.019814
0.656667	-0.022929
0.658333	-0.024032
0.66	-0.022372
0.661667	-0.018206
0.663333	-0.01282
0.665	-0.007902
0.666667	-0.005048
0.668333	-0.004999
0.67	-0.007151
0.671667	-0.010253
0.673333	-0.013455
0.675	-0.016391
0.676667	-0.018597
0.678333	-0.019344
0.68	-0.018043
0.681667	-0.014967
0.683333	-0.011463
0.685	-0.008931
0.686667	-0.00783
0.688333	-0.008111
0.69	-0.009697
0.691667	-0.012098
0.693333	-0.014531
0.695	-0.016466
0.696667	-0.017699
0.698333	-0.018173
0.7	-0.017625
0.701667	-0.015758
0.703333	-0.013013
0.705	-0.010496
0.706667	-0.009201
0.708333	-0.009831
0.71	-0.012762
0.711667	-0.017367
0.713333	-0.021957
0.715	-0.024989
0.716667	-0.026033
0.718333	-0.025367
0.72	-0.023249
0.721667	-0.020106
0.723333	-0.016926
0.725	-0.014957
0.726667	-0.014975
0.728333	-0.016612
0.73	-0.018458
0.731667	-0.019147
0.733333	-0.018102
0.735	-0.01536
0.736667	-0.011619
0.738333	-0.008367
0.74	-0.006899
0.741667	-0.007361
0.743333	-0.009092
0.745	-0.011017
0.746667	-0.011643
0.748333	-0.010052
0.75	-0.007096
0.751667	-0.004731
0.753333	-0.004317
0.755	-0.005707
0.756667	-0.00762
0.758333	-0.008955
0.76	-0.009524
0.761667	-0.009615
0.763333	-0.009762
0.765	-0.010702
0.766667	-0.012466
0.768333	-0.013958
0.77	-0.014146
0.771667	-0.013093
0.773333	-0.011702
0.775	-0.010993
0.776667	-0.011695
0.778333	-0.013876
0.78	-0.016706
0.781667	-0.019095
0.783333	-0.020249
0.785	-0.01955
0.786667	-0.016963
0.788333	-0.01337
0.79	-0.010124
0.791667	-0.00845
0.793333	-0.008484
0.795	-0.009
0.796667	-0.008763
0.798333	-0.007689
0.8	-0.006444
0.801667	-0.005748
0.803333	-0.006296
0.805	-0.008521
0.806667	-0.012025
0.808333	-0.015632
0.81	-0.018003
0.811667	-0.018395
0.813333	-0.017295
0.815	-0.016039
0.816667	-0.015728
0.818333	-0.016579
0.82	-0.017935
0.821667	-0.018943
0.823333	-0.019197
0.825	-0.018589
0.826667	-0.017187
0.828333	-0.015525
0.83	-0.014369
0.831667	-0.01397
0.833333	-0.01386
0.835	-0.013329
0.836667	-0.011967
0.838333	-0.009998
0.84	-0.008069
0.841667	-0.00662
0.843333	-0.005684
0.845	-0.005293
0.846667	-0.005692
0.848333	-0.006912
0.85	-0.008351
0.851667	-0.009159
0.853333	-0.008956
0.855	-0.008095
0.856667	-0.007416
0.858333	-0.007642
0.86	-0.008633
0.861667	-0.009333
0.863333	-0.009007
0.865	-0.008154
0.866667	-0.007485
0.868333	-0.006865
0.87	-0.006041
0.871667	-0.005424
0.873333	-0.00571
0.875	-0.007131
0.876667	-0.009115
0.878333	-0.010661
0.88	-0.010828
0.881667	-0.009006
0.883333	-0.005695
0.885	-0.002548
0.886667	-0.000834
0.888333	-0.000499
0.89	-0.000784
0.891667	-0.001226
0.893333	-0.002073
0.895	-0.003778
0.896667	-0.006405
0.898333	-0.009444
0.9	-0.012065
0.901667	-0.013794
0.903333	-0.014474
0.905	-0.013779
0.906667	-0.011782
0.908333	-0.009705
0.91	-0.009195
0.911667	-0.010774
0.913333	-0.013292
0.915	-0.015107
0.916667	-0.015702
0.918333	-0.016011
0.92	-0.017235
0.921667	-0.019712
0.923333	-0.022861
0.925	-0.025432
0.926667	-0.026035
0.928333	-0.024518
0.93	-0.022645
0.931667	-0.02246
0.933333	-0.024246
0.935	-0.026765
0.936667	-0.028601
0.938333	-0.028618
0.94	-0.026351
0.941667	-0.022537
0.943333	-0.018585
0.945	-0.015633
0.946667	-0.014463
0.948333	-0.01542
0.95	-0.017564
0.951667	-0.018783
0.953333	-0.017696
0.955	-0.014788
0.956667	-0.011615
0.958333	-0.009752
0.96	-0.010292
0.961667	-0.013562
0.963333	-0.018699
0.965	-0.023912
0.966667	-0.027874
0.968333	-0.030316
0.97	-0.031086
0.971667	-0.029833
0.973333	-0.026994
0.975	-0.02419
0.976667	-0.023051
0.978333	-0.023887
0.98	-0.025683
0.981667	-0.026917
0.983333	-0.026463
0.985	-0.02441
0.986667	-0.022023
0.988333	-0.020769
0.99	-0.021421
0.991667	-0.023682
0.993333	-0.026466
0.995	-0.028837
0.996667	-0.030467
0.998333	-0.031273
1	-0.031177
1.001667	-0.030163
1.003333	-0.028425
1.005	-0.026347
1.006667	-0.023949
1.008333	-0.021028
1.01	-0.01836
1.011667	-0.017344
1.013333	-0.018264
1.015	-0.020173
1.016667	-0.021807
1.018333	-0.021883
1.02	-0.019672
1.021667	-0.015803
1.023333	-0.012238
1.025	-0.011128
1.026667	-0.012875
1.028333	-0.015412
1.03	-0.016197
1.031667	-0.01448
1.033333	-0.011274
1.035	-0.008254
1.036667	-0.006947
1.038333	-0.007991
1.04	-0.010684
1.041667	-0.013432
1.043333	-0.014772
1.045	-0.014097
1.046667	-0.011965
1.048333	-0.009876
1.05	-0.0091
1.051667	-0.009821
