Time (min)	Value (mAU)
4.838333	15.11008
4.84	15.097945
4.841667	15.087474
4.843333	15.077807
4.845	15.067923
4.846667	15.057402
4.848333	15.046157
4.85	15.034391
4.851667	15.02277
4.853333	15.011366
4.855	14.999161
4.856667	14.9854
4.858333	14.970396
4.86	14.954916
4.861667	14.939716
4.863333	14.925374
4.865	14.911892
4.866667	14.89868
4.868333	14.885136
4.87	14.871106
4.871667	14.857058
4.873333	14.843951
4.875	14.832511
4.876667	14.822483
4.878333	14.812803
4.88	14.802415
4.881667	14.790847
4.883333	14.778446
4.885	14.766143
4.886667	14.754625
4.888333	14.743757
4.89	14.732987
4.891667	14.722228
4.893333	14.712012
4.895	14.702572
4.896667	14.693285
4.898333	14.683602
4.9	14.674007
4.901667	14.665572
4.903333	14.659009
4.905	14.654229
4.906667	14.650486
4.908333	14.646757
4.91	14.642038
4.911667	14.635589
4.913333	14.62698
4.915	14.616358
4.916667	14.604914
4.918333	14.594273
4.92	14.585446
4.921667	14.579104
4.923333	14.575676
4.925	14.574097
4.926667	14.572069
4.928333	14.568228
4.93	14.562728
4.931667	14.556035
4.933333	14.548609
4.935	14.541406
4.936667	14.535538
4.938333	14.531612
4.94	14.529746
4.941667	14.529633
4.943333	14.530189
4.945	14.529817
4.946667	14.527553
4.948333	14.523619
4.95	14.51907
4.951667	14.515131
4.953333	14.512484
4.955	14.51106
4.956667	14.510636
4.958333	14.51125
4.96	14.512891
4.961667	14.515334
4.963333	14.5181
4.965	14.520083
4.966667	14.520078
4.968333	14.518412
4.97	14.517196
4.971667	14.51834
4.973333	14.521852
4.975	14.526061
4.976667	14.529017
4.978333	14.529976
4.98	14.529621
4.981667	14.528755
4.983333	14.527373
4.985	14.525313
4.986667	14.523069
4.988333	14.521587
4.99	14.521615
4.991667	14.523176
4.993333	14.525683
4.995	14.52898
4.996667	14.533738
4.998333	14.54039
5	14.548269
5.001667	14.556101
5.003333	14.563047
5.005	14.569096
5.006667	14.574623
5.008333	14.580001
5.01	14.585859
5.011667	14.59283
5.013333	14.600822
5.015	14.609159
5.016667	14.617001
5.018333	14.623593
5.02	14.628899
5.021667	14.633706
5.023333	14.638624
5.025	14.643468
5.026667	14.647771
5.028333	14.651655
5.03	14.656178
5.031667	14.662282
5.033333	14.669518
5.035	14.676787
5.036667	14.683503
5.038333	14.68933
5.04	14.694423
5.041667	14.700272
5.043333	14.70885
5.045	14.72081
5.046667	14.734972
5.048333	14.749106
5.05	14.761299
5.051667	14.7712
5.053333	14.779813
5.055	14.788038
5.056667	14.795962
5.058333	14.803464
5.06	14.810871
5.061667	14.818843
5.063333	14.827776
5.065	14.837416
5.066667	14.847362
5.068333	14.857802
5.07	14.868977
5.071667	14.880187
5.073333	14.890173
5.075	14.898371
5.076667	14.905312
5.078333	14.911915
5.08	14.91891
5.081667	14.926979
5.083333	14.936801
5.085	14.948664
5.086667	14.962274
5.088333	14.976859
5.09	14.991487
5.091667	15.005717
5.093333	15.01993
5.095	15.03458
5.096667	15.048992
5.098333	15.061533
5.1	15.070897
5.101667	15.077057
5.103333	15.081536
5.105	15.086255
5.106667	15.092022
5.108333	15.099123
5.11	15.108246
5.111667	15.119444
5.113333	15.131431
5.115	15.142879
5.116667	15.153621
5.118333	15.164289
5.12	15.175194
5.121667	15.185969
5.123333	15.196214
5.125	15.205967
5.126667	15.215725
5.128333	15.226464
5.13	15.23907
5.131667	15.253386
5.133333	15.268237
5.135	15.282618
5.136667	15.296574
5.138333	15.31069
5.14	15.325261
5.141667	15.340586
5.143333	15.357186
5.145	15.374672
5.146667	15.391208
5.148333	15.404904
5.15	15.415234
5.151667	15.4235
5.153333	15.43236
5.155	15.443957
5.156667	15.458128
5.158333	15.472787
5.16	15.486103
5.161667	15.498045
5.163333	15.509574
5.165	15.521254
5.166667	15.533381
5.168333	15.546528
5.17	15.560969
5.171667	15.575873
5.173333	15.589847
5.175	15.602287
5.176667	15.613589
5.178333	15.624124
5.18	15.633817
5.181667	15.642691
5.183333	15.651031
5.185	15.659098
5.186667	15.66708
5.188333	15.675468
5.19	15.68529
5.191667	15.697481
5.193333	15.712037
5.195	15.728037
5.196667	15.744322
5.198333	15.759875
5.2	15.7739
5.201667	15.786017
5.203333	15.796497
5.205	15.806521
5.206667	15.817565
5.208333	15.830087
5.21	15.843509
5.211667	15.857136
5.213333	15.870677
5.215	15.8842
5.216667	15.897493
5.218333	15.909778
5.22	15.920198
5.221667	15.928431
5.223333	15.93519
5.225	15.941942
5.226667	15.94981
5.228333	15.959192
5.23	15.970034
5.231667	15.981986
5.233333	15.994741
5.235	16.008306
5.236667	16.022654
5.238333	16.037223
5.24	16.051408
5.241667	16.065349
5.243333	16.079229
5.245	16.092589
5.246667	16.105097
5.248333	16.116898
5.25	16.128102
5.251667	16.138834
5.253333	16.149438
5.255	16.160258
5.256667	16.171506
5.258333	16.18319
5.26	16.194967
5.261667	16.206289
5.263333	16.216786
5.265	16.226528
5.266667	16.236247
5.268333	16.247229
5.27	16.260358
5.271667	16.275292
5.273333	16.29082
5.275	16.305609
5.276667	16.318977
5.278333	16.331595
5.28	16.344867
5.281667	16.359369
5.283333	16.374546
5.285	16.389349
5.286667	16.402585
5.288333	16.413412
5.29	16.42192
5.291667	16.429304
5.293333	16.437401
5.295	16.447483
5.296667	16.459672
5.298333	16.473238
5.3	16.486641
5.301667	16.498159
5.303333	16.507253
5.305	16.51487
5.306667	16.522509
5.308333	16.5312
5.31	16.541246
5.311667	16.552629
5.313333	16.565075
5.315	16.577883
5.316667	16.590449
5.318333	16.602653
5.32	16.61437
5.321667	16.625343
5.323333	16.635614
5.325	16.645387
5.326667	16.654839
5.328333	16.664654
5.33	16.676217
5.331667	16.690462
5.333333	16.706771
5.335	16.723815
5.336667	16.740774
5.338333	16.757089
5.34	16.772207
5.341667	16.786109
5.343333	16.799319
5.345	16.812447
5.346667	16.825888
5.348333	16.839203
5.35	16.850929
5.351667	16.859743
5.353333	16.865679
5.355	16.870253
5.356667	16.875569
5.358333	16.882793
5.36	16.891514
5.361667	16.900921
5.363333	16.910897
5.365	16.921732
5.366667	16.933498
5.368333	16.945613
5.37	16.957049
5.371667	16.96716
5.373333	16.975756
5.375	16.983024
5.376667	16.990191
5.378333	16.999071
5.38	17.010074
5.381667	17.021883
5.383333	17.033334
5.385	17.044302
5.386667	17.055061
5.388333	17.065723
5.39	17.076261
5.391667	17.086854
5.393333	17.097775
5.395	17.10901
5.396667	17.120318
5.398333	17.131335
5.4	17.141561
5.401667	17.15072
5.403333	17.158993
5.405	17.166359
5.406667	17.172408
5.408333	17.177502
5.41	17.182742
5.411667	17.188713
5.413333	17.196059
5.415	17.20622
5.416667	17.219717
5.418333	17.234859
5.42	17.249195
5.421667	17.261339
5.423333	17.271152
5.425	17.279191
5.426667	17.286059
5.428333	17.291834
5.43	17.296643
5.431667	17.301372
5.433333	17.306899
5.435	17.313532
5.436667	17.321551
5.438333	17.33123
5.44	17.342208
5.441667	17.353319
5.443333	17.363213
5.445	17.371309
5.446667	17.377663
5.448333	17.382054
5.45	17.384634
5.451667	17.386999
5.453333	17.390969
5.455	17.397116
5.456667	17.405031
5.458333	17.413791
5.46	17.422377
5.461667	17.430647
5.463333	17.439334
5.465	17.448602
5.466667	17.457698
5.468333	17.466171
5.47	17.474383
5.471667	17.482742
5.473333	17.491045
5.475	17.498987
5.476667	17.506832
5.478333	17.51465
5.48	17.521602
5.481667	17.526756
5.483333	17.529946
5.485	17.531813
5.486667	17.533367
5.488333	17.534988
5.49	17.535906
5.491667	17.535401
5.493333	17.534285
5.495	17.534727
5.496667	17.538543
5.498333	17.545608
5.5	17.553963
5.501667	17.561315
5.503333	17.566305
5.505	17.569034
5.506667	17.57089
5.508333	17.573276
5.51	17.576175
5.511667	17.578326
5.513333	17.578617
5.515	17.577024
5.516667	17.57465
5.518333	17.572941
5.52	17.572506
5.521667	17.572884
5.523333	17.573294
5.525	17.573365
5.526667	17.573295
5.528333	17.573245
5.53	17.572578
5.531667	17.569922
5.533333	17.564521
5.535	17.557493
5.536667	17.550952
5.538333	17.546169
5.54	17.543061
5.541667	17.540787
5.543333	17.538385
5.545	17.535083
5.546667	17.530576
5.548333	17.525111
5.55	17.519071
5.551667	17.512763
5.553333	17.506495
5.555	17.500385
5.556667	17.494444
5.558333	17.48922
5.56	17.485742
5.561667	17.484259
5.563333	17.48341
5.565	17.480985
5.566667	17.475367
5.568333	17.466446
5.57	17.455547
5.571667	17.444529
5.573333	17.4345
5.575	17.425095
5.576667	17.414929
5.578333	17.402771
5.58	17.388905
5.581667	17.375202
5.583333	17.363339
5.585	17.353462
5.586667	17.344829
5.588333	17.336887
5.59	17.328878
5.591667	17.319268
5.593333	17.306861
5.595	17.291729
5.596667	17.274735
5.598333	17.256959
5.6	17.23927
5.601667	17.221911
5.603333	17.204456
5.605	17.18641
5.606667	17.168245
5.608333	17.151272
5.61	17.136069
5.611667	17.121881
5.613333	17.10731
5.615	17.090852
5.616667	17.071708
5.618333	17.050512
5.62	17.028506
5.621667	17.006166
5.623333	16.982982
5.625	16.958426
5.626667	16.932681
5.628333	16.906253
5.63	16.8798
5.631667	16.854328
5.633333	16.830546
5.635	16.80823
5.636667	16.78642
5.638333	16.763982
5.64	16.740076
5.641667	16.714175
5.643333	16.686275
5.645	16.657274
5.646667	16.627915
5.648333	16.597728
5.65	16.566415
5.651667	16.535156
5.653333	16.505308
5.655	16.476958
5.656667	16.449144
5.658333	16.42061
5.66	16.390529
5.661667	16.358773
5.663333	16.325586
5.665	16.29133
5.666667	16.256217
5.668333	16.220359
5.67	16.184421
5.671667	16.149232
5.673333	16.114715
5.675	16.080245
5.676667	16.045436
5.678333	16.010123
5.68	15.974468
5.681667	15.939109
5.683333	15.904389
5.685	15.869602
5.686667	15.833543
5.688333	15.795508
5.69	15.755712
5.691667	15.715024
5.693333	15.673913
5.695	15.631982
5.696667	15.589127
5.698333	15.546256
5.7	15.503932
5.701667	15.461136
5.703333	15.416638
5.705	15.370821
5.706667	15.325097
5.708333	15.28053
5.71	15.237317
5.711667	15.194664
5.713333	15.151364
5.715	15.106522
5.716667	15.059694
5.718333	15.011087
5.72	14.96154
5.721667	14.911975
5.723333	14.863262
5.725	14.81612
5.726667	14.770229
5.728333	14.723898
5.73	14.675464
5.731667	14.624564
5.733333	14.571716
5.735	14.517661
5.736667	14.4634
5.738333	14.410154
5.74	14.359083
5.741667	14.310674
5.743333	14.26388
5.745	14.21643
5.746667	14.16659
5.748333	14.114059
5.75	14.059133
5.751667	14.001936
5.753333	13.942515
5.755	13.881234
5.756667	13.818935
5.758333	13.756824
5.76	13.696409
5.761667	13.638953
5.763333	13.584117
5.765	13.529927
5.766667	13.474973
5.768333	13.419659
5.77	13.364648
5.771667	13.309194
5.773333	13.251666
5.775	13.191119
5.776667	13.128167
5.778333	13.064515
5.78	13.001601
5.781667	12.939845
5.783333	12.879144
5.785	12.819581
5.786667	12.761183
5.788333	12.703393
5.79	12.645212
5.791667	12.585682
5.793333	12.524568
5.795	12.462773
5.796667	12.401722
5.798333	12.342153
5.8	12.283479
5.801667	12.22427
5.803333	12.163237
5.805	12.099951
5.806667	12.03507
5.808333	11.969978
5.81	11.905838
5.811667	11.842924
5.813333	11.780827
5.815	11.718997
5.816667	11.657141
5.818333	11.595228
5.82	11.532954
5.821667	11.469431
5.823333	11.403999
5.825	11.337062
5.826667	11.269797
5.828333	11.20346
5.83	11.138683
5.831667	11.07519
5.833333	11.012317
5.835	10.949049
5.836667	10.883706
5.838333	10.815196
5.84	10.744534
5.841667	10.674151
5.843333	10.606143
5.845	10.54133
5.846667	10.479247
5.848333	10.418815
5.85	10.359058
5.851667	10.299383
5.853333	10.2392
5.855	10.177462
5.856667	10.113441
5.858333	10.047719
5.86	9.981537
5.861667	9.915452
5.863333	9.849165
5.865	9.782356
5.866667	9.715085
5.868333	9.647418
5.87	9.579307
5.871667	9.510855
5.873333	9.442144
5.875	9.373325
5.876667	9.305076
5.878333	9.238268
5.88	9.173371
5.881667	9.110358
5.883333	9.048945
5.885	8.988966
5.886667	8.930169
5.888333	8.871645
5.89	8.812056
5.891667	8.750488
5.893333	8.68696
5.895	8.622344
5.896667	8.557836
5.898333	8.494174
5.9	8.431396
5.901667	8.369376
5.903333	8.308017
5.905	8.247013
5.906667	8.185835
5.908333	8.123856
5.91	8.060904
5.911667	7.997896
5.913333	7.93634
5.915	7.87716
5.916667	7.820268
5.918333	7.764864
5.92	7.709552
5.921667	7.652612
5.923333	7.593165
5.925	7.531989
5.926667	7.470645
5.928333	7.409887
5.93	7.349081
5.931667	7.287277
5.933333	7.224471
5.935	7.161353
5.936667	7.09854
5.938333	7.036536
5.94	6.975908
5.941667	6.917127
5.943333	6.859994
5.945	6.803522
5.946667	6.747004
5.948333	6.69092
5.95	6.636405
5.951667	6.583801
5.953333	6.531949
5.955	6.479304
5.956667	6.425318
5.958333	6.370434
5.96	6.315532
5.961667	6.261385
5.963333	6.207813
5.965	6.153794
5.966667	6.098635
5.968333	6.042176
5.97	5.984552
5.971667	5.926816
5.973333	5.87092
5.975	5.818371
5.976667	5.769068
5.978333	5.721253
5.98	5.672821
5.981667	5.622659
5.983333	5.570466
5.985	5.516639
5.986667	5.462607
5.988333	5.409945
5.99	5.359404
5.991667	5.310908
5.993333	5.263696
5.995	5.217043
5.996667	5.171055
5.998333	5.125908
6	5.080707
6.001667	5.034118
6.003333	4.986001
6.005	4.937752
6.006667	4.890967
6.008333	4.846028
6.01	4.801868
6.011667	4.757219
6.013333	4.711891
6.015	4.6663
6.016667	4.620429
6.018333	4.573991
6.02	4.526978
6.021667	4.479806
6.023333	4.433468
6.025	4.389298
6.026667	4.34789
6.028333	4.308215
6.03	4.268398
6.031667	4.227542
6.033333	4.186425
6.035	4.146433
6.036667	4.108076
6.038333	4.070269
6.04	4.031021
6.041667	3.989328
6.043333	3.946319
6.045	3.904165
6.046667	3.864289
6.048333	3.826787
6.05	3.790958
6.051667	3.755938
6.053333	3.720983
6.055	3.685777
6.056667	3.650636
6.058333	3.616009
6.06	3.58192
6.061667	3.548204
6.063333	3.514685
6.065	3.480823
6.066667	3.446073
6.068333	3.410717
6.07	3.375715
6.071667	3.342013
6.073333	3.310001
6.075	3.279048
6.076667	3.247897
6.078333	3.215975
6.08	3.183784
6.081667	3.151875
6.083333	3.120265
6.085	3.08893
6.086667	3.058336
6.088333	3.029112
6.09	3.00106
6.091667	2.973089
6.093333	2.944395
6.095	2.915046
6.096667	2.885526
6.098333	2.856432
6.1	2.828289
6.101667	2.801127
6.103333	2.774495
6.105	2.747884
6.106667	2.721
6.108333	2.693765
6.11	2.666098
6.111667	2.63771
6.113333	2.608305
6.115	2.578169
6.116667	2.548317
6.118333	2.520081
6.12	2.494365
6.121667	2.470846
6.123333	2.448438
6.125	2.426746
6.126667	2.40622
6.128333	2.386831
6.13	2.367356
6.131667	2.346449
6.133333	2.324021
6.135	2.30095
6.136667	2.277698
6.138333	2.254107
6.14	2.230396
6.141667	2.207284
6.143333	2.18552
6.145	2.165758
6.146667	2.148093
6.148333	2.131645
6.15	2.114971
6.151667	2.096742
6.153333	2.076527
6.155	2.055244
6.156667	2.034462
6.158333	2.015175
6.16	1.99736
6.161667	1.980682
6.163333	1.965244
6.165	1.950901
6.166667	1.936295
6.168333	1.919874
6.17	1.901572
6.171667	1.882621
6.173333	1.86416
6.175	1.846439
6.176667	1.829199
6.178333	1.812592
6.18	1.797391
6.181667	1.784209
6.183333	1.772721
6.185	1.761493
6.186667	1.748773
6.188333	1.733929
6.19	1.717777
6.191667	1.701543
6.193333	1.686255
6.195	1.672908
6.196667	1.662098
6.198333	1.653205
6.2	1.644368
6.201667	1.633583
6.203333	1.620111
6.205	1.604739
6.206667	1.588821
6.208333	1.573578
6.21	1.559938
6.211667	1.548322
6.213333	1.538372
6.215	1.529273
6.216667	1.520604
6.218333	1.512246
6.22	1.503832
6.221667	1.494941
6.223333	1.485074
6.225	1.473577
6.226667	1.460177
6.228333	1.44506
6.23	1.428755
6.231667	1.412525
6.233333	1.397994
6.235	1.386101
6.236667	1.376862
6.238333	1.369683
6.24	1.363471
6.241667	1.356889
6.243333	1.349061
6.245	1.34013
6.246667	1.330858
6.248333	1.321818
6.25	1.313161
6.251667	1.305055
6.253333	1.298026
6.255	1.292262
6.256667	1.286766
6.258333	1.280065
6.26	1.271433
6.261667	1.260894
6.263333	1.24899
6.265	1.237068
6.266667	1.226779
6.268333	1.218889
6.27	1.213036
6.271667	1.208324
6.273333	1.203816
6.275	1.19888
6.276667	1.193399
6.278333	1.187488
6.28	1.181292
6.281667	1.17507
6.283333	1.168877
6.285	1.162349
6.286667	1.1551
6.288333	1.147162
6.29	1.139223
6.291667	1.132371
6.293333	1.12739
6.295	1.124343
6.296667	1.122702
6.298333	1.121544
6.3	1.119694
6.301667	1.11628
6.303333	1.111457
6.305	1.106024
6.306667	1.100177
6.308333	1.093616
6.31	1.086726
6.311667	1.080517
6.313333	1.075468
6.315	1.071085
6.316667	1.066726
6.318333	1.062542
6.32	1.05909
6.321667	1.056366
6.323333	1.053754
6.325	1.050557
6.326667	1.046297
6.328333	1.040933
6.33	1.034711
6.331667	1.027627
6.333333	1.019808
6.335	1.012185
6.336667	1.005598
6.338333	1.000094
6.34	0.995844
6.341667	0.993584
6.343333	0.993778
6.345	0.995716
6.346667	0.997551
6.348333	0.997511
6.35	0.994941
6.351667	0.990071
6.353333	0.983558
6.355	0.976359
6.356667	0.969261
6.358333	0.962407
6.36	0.955578
6.361667	0.94885
6.363333	0.942941
6.365	0.938538
6.366667	0.935348
6.368333	0.932771
6.37	0.931179
6.371667	0.931296
6.373333	0.932544
6.375	0.932996
6.376667	0.930888
6.378333	0.925754
6.38	0.91851
6.381667	0.911008
6.383333	0.905254
6.385	0.902018
6.386667	0.899918
6.388333	0.896567
6.39	0.8908
6.391667	0.883502
6.393333	0.876731
6.395	0.872599
6.396667	0.872233
6.398333	0.87505
6.4	0.879294
6.401667	0.882996
6.403333	0.884475
6.405	0.883034
6.406667	0.879404
6.408333	0.875067
6.41	0.87107
6.411667	0.867792
6.413333	0.865626
6.415	0.864916
6.416667	0.865167
6.418333	0.865169
6.42	0.86385
6.421667	0.860751
6.423333	0.856202
6.425	0.851411
6.426667	0.848046
6.428333	0.847009
6.43	0.847311
6.431667	0.846587
6.433333	0.842982
6.435	0.836319
6.436667	0.827858
6.438333	0.819648
6.44	0.813485
6.441667	0.809684
6.443333	0.807302
6.445	0.805476
6.446667	0.803792
6.448333	0.801605
6.45	0.797989
6.451667	0.792685
6.453333	0.786501
6.455	0.780602
6.456667	0.775916
6.458333	0.773263
6.46	0.773179
6.461667	0.775271
6.463333	0.778207
6.465	0.780495
6.466667	0.781018
6.468333	0.779183
6.47	0.775346
6.471667	0.770984
6.473333	0.767814
6.475	0.766613
6.476667	0.766873
6.478333	0.767308
6.48	0.766579
6.481667	0.764046
6.483333	0.760533
6.485	0.757954
6.486667	0.757363
6.488333	0.757701
6.49	0.757053
6.491667	0.754709
6.493333	0.751342
6.495	0.747714
6.496667	0.74401
6.498333	0.740069
6.5	0.735708
6.501667	0.73101
6.503333	0.726621
6.505	0.723222
6.506667	0.720575
6.508333	0.717863
6.51	0.714678
6.511667	0.710972
6.513333	0.70672
6.515	0.702117
6.516667	0.697751
6.518333	0.694433
6.52	0.692934
6.521667	0.693545
6.523333	0.695436
6.525	0.696946
6.526667	0.697114
6.528333	0.696169
6.53	0.694545
6.531667	0.692773
6.533333	0.691717
6.535	0.691613
6.536667	0.691658
6.538333	0.691115
6.54	0.690014
6.541667	0.688639
6.543333	0.686881
6.545	0.684505
6.546667	0.681642
6.548333	0.678674
6.55	0.675974
6.551667	0.673703
6.553333	0.671932
6.555	0.67107
6.556667	0.671484
6.558333	0.672659
6.56	0.673359
6.561667	0.672913
6.563333	0.671938
6.565	0.670999
6.566667	0.669341
6.568333	0.666055
6.57	0.661541
6.571667	0.656837
6.573333	0.652342
6.575	0.647897
6.576667	0.643242
6.578333	0.637965
6.58	0.631878
6.581667	0.625834
6.583333	0.621415
6.585	0.619216
6.586667	0.618092
6.588333	0.616763
6.59	0.615336
6.591667	0.614524
6.593333	0.61428
6.595	0.61383
6.596667	0.612524
6.598333	0.610173
6.6	0.6068
6.601667	0.602897
6.603333	0.59965
6.605	0.597684
6.606667	0.596156
6.608333	0.593979
6.61	0.591091
6.611667	0.588259
6.613333	0.586272
6.615	0.585432
6.616667	0.585579
6.618333	0.586213
6.62	0.586434
6.621667	0.58535
6.623333	0.582671
6.625	0.578667
6.626667	0.574012
6.628333	0.569763
6.63	0.566833
6.631667	0.565436
6.633333	0.56524
6.635	0.56577
6.636667	0.5665
6.638333	0.566689
6.64	0.565488
6.641667	0.562505
6.643333	0.558052
6.645	0.552855
6.646667	0.547975
6.648333	0.544842
6.65	0.54458
6.651667	0.547059
6.653333	0.550849
6.655	0.554182
6.656667	0.555947
6.658333	0.555885
6.66	0.554212
6.661667	0.551342
6.663333	0.547775
6.665	0.544215
6.666667	0.541758
6.668333	0.541355
6.67	0.542969
6.671667	0.545642
6.673333	0.547889
6.675	0.548171
6.676667	0.545834
6.678333	0.541502
6.68	0.53637
6.681667	0.531148
6.683333	0.526019
6.685	0.521612
6.686667	0.518778
6.688333	0.51742
6.69	0.516483
6.691667	0.514998
6.693333	0.513093
6.695	0.511487
6.696667	0.510237
6.698333	0.509132
6.7	0.50812
6.701667	0.506566
6.703333	0.503556
6.705	0.498871
6.706667	0.493299
6.708333	0.488672
6.71	0.486858
6.711667	0.488008
6.713333	0.490449
6.715	0.49232
6.716667	0.492676
6.718333	0.491474
6.72	0.489587
6.721667	0.488178
6.723333	0.487219
6.725	0.485664
6.726667	0.483076
6.728333	0.47995
6.73	0.477053
6.731667	0.474998
6.733333	0.473747
6.735	0.472732
6.736667	0.471689
6.738333	0.470802
6.74	0.47019
6.741667	0.469786
6.743333	0.469435
6.745	0.468727
6.746667	0.467153
6.748333	0.464518
6.75	0.461038
6.751667	0.457597
6.753333	0.455515
6.755	0.455065
6.756667	0.455107
6.758333	0.454641
6.76	0.453685
6.761667	0.452843
6.763333	0.452611
6.765	0.452799
6.766667	0.452655
6.768333	0.451607
6.77	0.449718
6.771667	0.447423
6.773333	0.444712
6.775	0.440929
6.776667	0.435942
6.778333	0.430949
6.78	0.42766
6.781667	0.426773
6.783333	0.427336
6.785	0.427866
6.786667	0.427712
6.788333	0.427022
6.79	0.426164
6.791667	0.425541
6.793333	0.425472
6.795	0.425937
6.796667	0.426305
6.798333	0.425596
6.8	0.42341
6.801667	0.420624
6.803333	0.418583
6.805	0.417581
6.806667	0.416921
6.808333	0.415902
6.81	0.41397
6.811667	0.410946
6.813333	0.407418
6.815	0.404187
6.816667	0.401758
6.818333	0.400376
6.82	0.399867
6.821667	0.399635
6.823333	0.398855
6.825	0.396625
6.826667	0.392695
6.828333	0.387961
6.83	0.383722
6.831667	0.380644
6.833333	0.378758
6.835	0.378122
6.836667	0.378582
6.838333	0.379146
6.84	0.378635
6.841667	0.376517
6.843333	0.373051
6.845	0.369407
6.846667	0.367077
6.848333	0.366619
6.85	0.367081
6.851667	0.366848
6.853333	0.365259
6.855	0.363048
6.856667	0.361438
6.858333	0.361521
6.86	0.363702
6.861667	0.367038
6.863333	0.369773
6.865	0.370548
6.866667	0.368972
6.868333	0.365464
6.87	0.360599
6.871667	0.354921
6.873333	0.349472
6.875	0.345648
6.876667	0.344347
6.878333	0.345332
6.88	0.347201
6.881667	0.348498
6.883333	0.348993
6.885	0.349098
6.886667	0.348591
6.888333	0.347025
6.89	0.344939
6.891667	0.343708
6.893333	0.344094
6.895	0.345499
6.896667	0.346827
6.898333	0.347295
6.9	0.346461
6.901667	0.344359
6.903333	0.341567
6.905	0.338873
6.906667	0.336751
6.908333	0.335127
6.91	0.333753
6.911667	0.332479
6.913333	0.331096
6.915	0.329363
6.916667	0.327247
6.918333	0.324698
6.92	0.321343
6.921667	0.316972
6.923333	0.311909
6.925	0.306511
6.926667	0.30085
6.928333	0.295032
6.93	0.289512
6.931667	0.285058
6.933333	0.282643
6.935	0.28309
6.936667	0.28609
6.938333	0.289968
6.94	0.292995
6.941667	0.29441
6.943333	0.294036
6.945	0.291964
6.946667	0.289097
6.948333	0.287086
6.95	0.287238
6.951667	0.289615
6.953333	0.292962
6.955	0.29557
6.956667	0.296291
6.958333	0.294992
6.96	0.292515
6.961667	0.289763
6.963333	0.287028
6.965	0.284578
6.966667	0.282575
6.968333	0.2805
6.97	0.27803
6.971667	0.275811
6.973333	0.27479
6.975	0.275656
6.976667	0.27861
6.978333	0.282856
6.98	0.28673
6.981667	0.28887
6.983333	0.289103
6.985	0.287936
6.986667	0.285655
6.988333	0.282414
6.99	0.278758
6.991667	0.275589
6.993333	0.273486
6.995	0.272131
6.996667	0.270666
6.998333	0.268567
7	0.26615
7.001667	0.264261
7.003333	0.263465
7.005	0.26342
7.006667	0.262908
7.008333	0.260794
7.01	0.257304
7.011667	0.253803
7.013333	0.251168
7.015	0.24924
7.016667	0.247742
7.018333	0.246763
7.02	0.246272
7.021667	0.245813
7.023333	0.245518
7.025	0.246787
7.026667	0.250714
7.028333	0.256463
7.03	0.261709
7.031667	0.264349
7.033333	0.264005
7.035	0.262011
7.036667	0.259771
7.038333	0.257363
7.04	0.254213
7.041667	0.250403
7.043333	0.246437
7.045	0.242662
7.046667	0.239726
7.048333	0.238831
7.05	0.240547
7.051667	0.243658
7.053333	0.246223
7.055	0.247343
7.056667	0.247226
7.058333	0.246488
7.06	0.245708
7.061667	0.244919
7.063333	0.243341
7.065	0.240181
7.066667	0.23599
7.068333	0.232633
7.07	0.231439
7.071667	0.231977
7.073333	0.232955
7.075	0.233638
7.076667	0.233958
7.078333	0.234026
7.08	0.234146
7.081667	0.234732
7.083333	0.235816
7.085	0.236854
7.086667	0.237378
7.088333	0.237904
7.09	0.23963
7.091667	0.243178
7.093333	0.247961
7.095	0.252445
7.096667	0.254762
7.098333	0.2536
7.1	0.2491
7.101667	0.242733
7.103333	0.23607
7.105	0.229953
7.106667	0.224732
7.108333	0.220512
7.11	0.217052
7.111667	0.214067
7.113333	0.211454
7.115	0.208861
7.116667	0.20575
7.118333	0.202378
7.12	0.199965
7.121667	0.199154
7.123333	0.199467
7.125	0.20054
7.126667	0.202373
7.128333	0.204729
7.13	0.207398
7.131667	0.210559
7.133333	0.214393
7.135	0.218644
7.136667	0.222415
7.138333	0.22437
7.14	0.223808
7.141667	0.221274
7.143333	0.21777
7.145	0.214229
7.146667	0.21166
7.148333	0.210544
7.15	0.21037
7.151667	0.210537
7.153333	0.210789
7.155	0.210479
7.156667	0.208567
7.158333	0.204545
7.16	0.19911
7.161667	0.193862
7.163333	0.190087
7.165	0.187889
7.166667	0.186539
7.168333	0.185652
7.17	0.185915
7.171667	0.188228
7.173333	0.192416
7.175	0.19711
7.176667	0.200461
7.178333	0.201218
7.18	0.199575
7.181667	0.196748
7.183333	0.193814
7.185	0.19118
7.186667	0.188975
7.188333	0.18755
7.19	0.187544
7.191667	0.189332
7.193333	0.192216
7.195	0.194649
7.196667	0.195356
7.198333	0.193908
7.2	0.190722
7.201667	0.18664
7.203333	0.182261
7.205	0.178045
7.206667	0.174628
7.208333	0.172477
7.21	0.171581
7.211667	0.171575
7.213333	0.171911
7.215	0.171959
7.216667	0.171081
7.218333	0.168952
7.22	0.16597
7.221667	0.163341
7.223333	0.162582
7.225	0.164283
7.226667	0.167338
7.228333	0.170057
7.23	0.171457
7.231667	0.171295
7.233333	0.170144
7.235	0.16952
7.236667	0.170717
7.238333	0.17359
7.24	0.176943
7.241667	0.179232
7.243333	0.178983
7.245	0.176027
7.246667	0.172053
7.248333	0.169165
