Time,No_9596,No_9596_des,Rub1,Rub1_des,Rub2,Rub2_des
4.11,0.020479,0.011021,0.01616,0.0371960000000007,0.00717699999999999,0.012621
4.111667,0.02561,0.012898,0.012914,0.0363680000000004,0.011481,0.0140960000000001
4.113333,0.029898,0.01455,0.010231,0.0355240000000006,0.016725,0.015435
4.115,0.031285,0.015229,0.00895000000000001,0.0344090000000001,0.021409,0.015546
4.116667,0.029463,0.015142,0.00914000000000004,0.032375,0.024778,0.014098
4.118333,0.025755,0.014396,0.010468,0.0289130000000002,0.026851,0.012104
4.12,0.02193,0.012844,0.012308,0.0245410000000001,0.0277,0.010868
4.121667,0.019168,0.011106,0.013708,0.0205990000000007,0.027394,0.01109
4.123333,0.017916,0.010243,0.014085,0.0179880000000008,0.026284,0.012985
4.125,0.01794,0.010371,0.013836,0.0167540000000006,0.024962,0.016415
4.126667,0.018281,0.010889,0.013835,0.0169230000000002,0.024196,0.020712
4.128333,0.017829,0.011861,0.014347,0.0184410000000002,0.024433,0.024889
4.13,0.01624,0.013677,0.014683,0.0202820000000008,0.025212,0.027871
4.131667,0.014329,0.015808,0.014407,0.0210950000000008,0.025702,0.028518
4.133333,0.013492,0.017303,0.014182,0.0206140000000001,0.025584,0.026355
4.135,0.014393,0.017647,0.01468,0.0194040000000006,0.024923,0.022454000000000002
4.136667,0.016421,0.016657,0.015627,0.0177280000000009,0.023846,0.018618
4.138333,0.018605,0.014574,0.016382,0.0156970000000003,0.02261,0.015703
4.14,0.020387,0.012042,0.016712,0.0140160000000007,0.021346,0.01331
4.141667,0.021478,0.009546,0.016917,0.01356,0.019904,0.010688
4.143333,0.02162,0.00712199999999996,0.017373,0.0144840000000004,0.01835,0.00769900000000001
4.145,0.020462,0.00467499999999998,0.017997,0.0163880000000001,0.017237,0.00514100000000001
4.146667,0.017671,0.00237599999999999,0.01844,0.0189820000000003,0.017281,0.00402400000000003
4.148333,0.013631,0.000622000000000011,0.018524,0.021941,0.01869,0.00462400000000002
4.15,0.009938,0.0,0.018219,0.0243470000000006,0.020621,0.00642500000000001
4.151667,0.00858499999999998,0.00124299999999999,0.017757,0.0247860000000006,0.021739,0.008911
4.153333,0.010484,0.00457799999999997,0.017909,0.0221490000000006,0.021297,0.012038
4.155,0.01506,0.00923099999999999,0.019507,0.0165500000000005,0.01938,0.015716
4.156667,0.020809,0.013738,0.02268,0.00968900000000072,0.016801,0.019423
4.158333,0.025804,0.01674,0.026656,0.00407700000000055,0.014989,0.022784
4.16,0.028603,0.017901,0.030113,0.00125799999999998,0.014753,0.026081
4.161667,0.029183,0.018254,0.032112,0.000608000000000608,0.015269,0.029684
4.163333,0.028581,0.019154,0.032894,0.000435000000000407,0.015421,0.03331
4.165,0.027605,0.020763,0.033458,6.10000000005329e-05,0.015469,0.036096
4.166667,0.026103,0.022244,0.034545,0.0,0.016476,0.037125
4.168333,0.02341,0.023139,0.036327,0.000818000000000652,0.019046,0.03621
4.17,0.019066,0.023594,0.038282,0.00279900000000044,0.022992,0.034186
4.171667,0.013479,0.023801,0.039245,0.00591100000000022,0.027329,0.031843
4.173333,0.00828499999999999,0.023833,0.038633,0.00956299999999999,0.030581,0.029094
4.175,0.005271,0.023528,0.037327,0.0126580000000001,0.031654,0.025844
4.176667,0.00497400000000001,0.022541,0.036825,0.0140850000000006,0.030534,0.022606
4.178333,0.00681899999999999,0.020933,0.038023,0.013611,0.028266,0.019941
4.18,0.01012,0.019385,0.040814,0.012251,0.025995,0.018196
4.181667,0.014544,0.018564,0.044471,0.0114940000000008,0.023974,0.0176750000000001
4.183333,0.019475,0.018542,0.048203,0.0121510000000002,0.022015,0.018429
4.185,0.023387,0.019,0.05126,0.0137670000000005,0.020437,0.019916
4.186667,0.024887,0.01982,0.052667,0.0151910000000006,0.019818,0.021375
4.188333,0.024333,0.020949,0.051663,0.0157240000000005,0.020226,0.022598
4.19,0.023521,0.021879,0.048828,0.0153280000000002,0.021276,0.023918
4.191667,0.023916,0.021919,0.046128,0.0142320000000007,0.022476,0.025695
4.193333,0.025933,0.021015,0.045432,0.0129330000000003,0.023343,0.027982
4.195,0.029411,0.019964,0.047448,0.0121920000000006,0.023825,0.029977
4.196667,0.033813,0.019631,0.051942,0.0124910000000007,0.024453,0.030276
4.198333,0.038229,0.02026,0.057979,0.0136440000000002,0.025616,0.028626
4.2,0.041552,0.021633,0.063993,0.014996,0.027062,0.026713
4.201667,0.042819,0.023143,0.068554,0.0160170000000006,0.028319,0.026452
4.203333,0.041847,0.023895,0.071086,0.0167320000000002,0.029091,0.028105
4.205,0.03942,0.023487,0.071682,0.0173130000000006,0.029282,0.030692
4.206667,0.036607,0.022485,0.07076,0.0177320000000005,0.029028,0.033457
4.208333,0.03412,0.021926,0.06932,0.0182060000000002,0.028766,0.036033
4.21,0.032282,0.02258,0.069203,0.0191280000000003,0.029202,0.037937
4.211667,0.031322,0.024214,0.072493,0.0206080000000002,0.031087,0.03902
4.213333,0.031398,0.025326,0.080255,0.0227150000000007,0.034644,0.03984
4.215,0.032139,0.024539,0.091678,0.0257060000000005,0.03909,0.041011
4.216667,0.032615,0.022247,0.10459,0.0297210000000003,0.043067,0.042726
4.218333,0.032226,0.02017,0.116954,0.0345980000000008,0.045856,0.045094
4.22,0.031401,0.019927,0.127735,0.0400260000000001,0.047872,0.048369
4.221667,0.031088,0.022347,0.136757,0.0457020000000004,0.04992,0.052441
4.223333,0.031678,0.027369,0.144296,0.0514030000000005,0.052724,0.056435
4.225,0.032844,0.034,0.150878,0.0567540000000006,0.056845,0.059352
4.226667,0.034405,0.040313,0.157297,0.0610310000000007,0.06186,0.060796
4.228333,0.036876,0.044157,0.163982,0.063733,0.066098,0.061001
4.23,0.040878,0.044685,0.170302,0.0652800000000004,0.068245,0.06091
4.231667,0.046184,0.043002,0.175779,0.0668760000000006,0.068557,0.061733
4.233333,0.051684,0.041059,0.181731,0.0698100000000004,0.068042,0.063889
4.235,0.056429,0.040449,0.190291,0.0745770000000006,0.067691,0.067076
4.236667,0.060321,0.041972,0.202144,0.0804460000000002,0.068424,0.071116
4.238333,0.063719,0.045463,0.216236,0.0863000000000005,0.070625,0.076003
4.24,0.067005,0.050006,0.231175,0.0919960000000009,0.07381,0.081346
4.241667,0.070418,0.054619,0.245912,0.0980960000000008,0.077138,0.086201
4.243333,0.073597,0.058881,0.259609,0.104969000000001,0.080202,0.089719
4.245,0.075634,0.063144,0.27213,0.113069,0.083406,0.091935
4.246667,0.076306,0.067869,0.284392,0.122803,0.087651,0.093732
4.248333,0.076896,0.072648,0.297273,0.133675,0.093607,0.096089
4.25,0.079325,0.076473,0.310593,0.144523,0.101212,0.099461
4.251667,0.084687,0.07894,0.323704,0.154602000000001,0.109477,0.103717
4.253333,0.092586,0.080787,0.336388,0.164054,0.116555,0.108458
4.255,0.101403,0.083448,0.3489,0.173436000000001,0.120974,0.113309
4.256667,0.109396,0.088009,0.361844,0.183284,0.123222,0.118087
4.258333,0.116012,0.094485,0.376121,0.194096,0.125332,0.123018
4.26,0.121707,0.102195,0.392406,0.20584,0.129069,0.128448
4.261667,0.126646,0.110532,0.410778,0.217593000000001,0.134845,0.134272
4.263333,0.130475,0.119,0.431039,0.228685,0.14185,0.140234
4.265,0.133202,0.126572,0.452963,0.239811,0.149118,0.146688
4.266667,0.135489,0.131682,0.476022,0.251971,0.156522,0.154248
4.268333,0.138117,0.133709,0.499078,0.26498,0.164468,0.162853
4.27,0.141426,0.134487,0.520859,0.27796,0.172882,0.17194
4.271667,0.145059,0.137412,0.54115,0.290424000000001,0.180713,0.181103
4.273333,0.148317,0.144454,0.561131,0.30236,0.186587,0.190168
4.275,0.151168,0.154863,0.582247,0.314259000000001,0.190379,0.199066
4.276667,0.154622,0.166843,0.604858,0.327061,0.193688,0.20775
4.278333,0.15998,0.178887,0.627836,0.341116,0.198398,0.216158
4.28,0.168033,0.189699,0.649712,0.355784000000001,0.205545,0.224188
4.281667,0.17878,0.198721,0.670501,0.370763,0.215443,0.231421
4.283333,0.191628,0.206736,0.691802,0.386568,0.227845,0.237306
4.285,0.205838,0.214801,0.71474,0.403191000000001,0.24186,0.242172
4.286667,0.220545,0.223038,0.738691,0.419566000000001,0.256336,0.247309
4.288333,0.234326,0.231376,0.762523,0.434477,0.270564,0.25395
4.29,0.245573,0.240462,0.786093,0.447251000000001,0.284383,0.262843
4.291667,0.25398,0.250728,0.809992,0.457952000000001,0.297887,0.273851
4.293333,0.261106,0.261589,0.834336,0.467406,0.311122,0.285547
4.295,0.269126,0.272297,0.858576,0.476693,0.323789,0.296143
4.296667,0.279519,0.282543,0.882675,0.486519,0.335346,0.304808
4.298333,0.292578,0.292052,0.907564,0.49736,0.345412,0.312043
4.3,0.307148,0.300461,0.933732,0.509971,0.35423,0.318959
4.301667,0.321012,0.307468,0.96,0.525213000000001,0.362851,0.326388
4.303333,0.332222,0.31314,0.98452,0.543094000000001,0.372505,0.334984
4.305,0.340183,0.318252,1.006384,0.562108,0.383773,0.345394
4.306667,0.345675,0.323797,1.025973,0.580175000000001,0.396597,0.357546
4.308333,0.350577,0.330451,1.044655,0.596398000000001,0.410538,0.370411
4.31,0.357368,0.338617,1.064063,0.611115000000001,0.42479,0.382922
4.311667,0.367627,0.348197,1.08493,0.624364000000001,0.43855,0.394939
4.313333,0.380699,0.35837,1.106623,0.635628000000001,0.451187,0.407045
4.315,0.394453,0.368398,1.127748,0.645214,0.462023,0.419275
4.316667,0.407275,0.37836,1.147403,0.654749000000001,0.470927,0.430703
4.318333,0.4192,0.388245,1.166154,0.665875000000001,0.478988,0.440722
4.32,0.431582,0.397272,1.185443,0.678835,0.487832,0.449772
4.321667,0.445689,0.405125,1.205801,0.692548,0.498596,0.458477
4.323333,0.461417,0.412653,1.226101,0.705867,0.511845,0.467115
4.325,0.477093,0.420796,1.245048,0.718621000000001,0.527771,0.475948
4.326667,0.490417,0.429766,1.263022,0.731252,0.54575,0.485124
4.328333,0.500322,0.439466,1.281548,0.743808,0.563816,0.494522
4.33,0.508055,0.449904,1.301186,0.756079000000001,0.579411,0.50436
4.331667,0.515616,0.460558,1.320903,0.768358,0.591415,0.515149
4.333333,0.523629,0.470128,1.339316,0.781436,0.601197,0.526398
4.335,0.531693,0.477721,1.355748,0.795843000000001,0.611145,0.536276
4.336667,0.539804,0.483633,1.370563,0.810910000000001,0.622533,0.543487
4.338333,0.548312,0.488712,1.385213,0.824727,0.635174,0.548859
4.34,0.557296,0.493711,1.401323,0.835782,0.648211,0.554233
4.341667,0.566753,0.499576,1.419227,0.844442000000001,0.660381,0.560595
4.343333,0.576995,0.507244,1.437867,0.852108,0.670231,0.567865
4.345,0.588382,0.516406,1.455944,0.859609000000001,0.677218,0.575434
4.346667,0.600548,0.525684,1.472515,0.867135,0.682566,0.582667
4.348333,0.612177,0.534074,1.486957,0.874903000000001,0.688418,0.589516
4.35,0.621851,0.541123,1.499369,0.883120000000001,0.696259,0.596172
4.351667,0.629074,0.54651,1.510508,0.891768000000001,0.706449,0.602211
4.353333,0.634487,0.550452,1.521029,0.900872000000001,0.718593,0.607088
4.355,0.639346,0.553867,1.531329,0.910438,0.731785,0.610834
4.356667,0.644858,0.557655,1.541727,0.920012000000001,0.744743,0.613741
4.358333,0.651393,0.562286,1.552336,0.929043,0.756133,0.616386
4.36,0.658207,0.567875,1.562964,0.937528,0.765414,0.619761
4.361667,0.664811,0.573917,1.573098,0.945639000000001,0.773272,0.62419
4.363333,0.671973,0.579464,1.582,0.952955,0.780355,0.628678
4.365,0.680155,0.584039,1.589382,0.958804000000001,0.786365,0.632188
4.366667,0.687969,0.587762,1.596185,0.963415,0.791232,0.634905
4.368333,0.693444,0.590933,1.603883,0.967818,0.795965,0.637963
4.37,0.696391,0.594024,1.612832,0.972228,0.801424,0.642647
4.371667,0.698498,0.597512,1.621931,0.975522000000001,0.807171,0.649647
4.373333,0.701207,0.601492,1.629854,0.976689,0.812084,0.658318
4.375,0.704538,0.605425,1.636221,0.976019,0.815682,0.666783
4.376667,0.707654,0.608319,1.641776,0.974694,0.818616,0.673237
4.378333,0.709954,0.609412,1.647702,0.973723000000001,0.821725,0.677234
4.38,0.712006,0.608479,1.654674,0.973589,0.824921,0.679764
4.381667,0.715132,0.605878,1.662564,0.974666,0.827737,0.682173
4.383333,0.719537,0.603014,1.670619,0.977284,0.830328,0.684778
4.385,0.723829,0.60214,1.677683,0.981216000000001,0.832879,0.686716
4.386667,0.726891,0.604881,1.682783,0.985546,0.834931,0.687396
4.388333,0.728815,0.610914,1.685424,0.989262,0.836287,0.687731
4.39,0.730002,0.617974,1.685543,0.991928000000001,0.837836,0.689607
4.391667,0.730657,0.623403,1.683901,0.993667,0.840847,0.694205
4.393333,0.730963,0.626288,1.682084,0.994773,0.84556,0.700753
4.395,0.731313,0.627664,1.681499,0.995436000000001,0.85101,0.707093
4.396667,0.732516,0.628518,1.682517,0.995726,0.856231,0.711772
4.398333,0.735414,0.628727,1.684675,0.996084000000001,0.860734,0.714751
4.4,0.739831,0.627948,1.687341,0.997199,0.864192,0.71602
4.401667,0.744023,0.6265,1.690078,0.999066,0.866562,0.715041
4.403333,0.745939,0.625172,1.692573,1.001148,0.86801,0.71165
4.405,0.745337,0.624465,1.694419,1.00337,0.868482,0.706881
4.406667,0.744221,0.624314,1.695095,1.006054,0.867957,0.702832
4.408333,0.7448,0.624374,1.694469,1.00891,0.866915,0.701345
4.41,0.747215,0.624027,1.693534,1.010895,0.866149,0.702444
4.411667,0.749763,0.622531,1.693913,1.011229,0.866043,0.704329
4.413333,0.75095,0.62002,1.69624,1.009986,0.866114,0.704996
4.415,0.750806,0.618013,1.69979,1.007992,0.865733,0.70357
4.416667,0.750441,0.618218,1.703277,1.006406,0.864701,0.700487
4.418333,0.750643,0.621024,1.705418,1.005848,0.862642,0.697314
4.42,0.751149,0.625385,1.705864,1.005822,0.859104,0.696118
4.421667,0.750984,0.629687,1.705785,1.005232,0.854494,0.698028
4.423333,0.749221,0.632614,1.706446,1.003217,0.849824,0.702368
4.425,0.745842,0.633603,1.707525,0.999235000000001,0.845873,0.707232
4.426667,0.741912,0.632773,1.707942,0.99329,0.843287,0.710155
4.428333,0.738604,0.630396,1.707505,0.986490000000001,0.842657,0.709028
4.43,0.73626,0.62658,1.706273,0.980286,0.843674,0.703817
4.431667,0.734287,0.621777,1.703771,0.975287000000001,0.844812,0.69673
4.433333,0.731861,0.617274,1.700337,0.971705,0.844328,0.690142
4.435,0.729004,0.614292,1.697532,0.970285000000001,0.841559,0.685074
4.436667,0.72655,0.612664,1.696324,0.971727,0.837388,0.681591
4.438333,0.724832,0.611212,1.696291,0.97546,0.833328,0.679556
4.44,0.723061,0.609199,1.69677,0.979709000000001,0.830125,0.678869
4.441667,0.720114,0.606922,1.697325,0.982735000000001,0.827626,0.679483
4.443333,0.71582,0.605086,1.697107,0.9838,0.825606,0.680811
4.445,0.711377,0.603761,1.695049,0.983230000000001,0.824122,0.681482
4.446667,0.708024,0.602345,1.690947,0.981719,0.823265,0.68074
4.448333,0.705783,0.600519,1.685879,0.979537000000001,0.822749,0.679389
4.45,0.704231,0.598564,1.681441,0.976629,0.821858,0.678404
4.451667,0.703455,0.596793,1.67854,0.973198,0.820228,0.677465
4.453333,0.703273,0.595306,1.676801,0.969714000000001,0.81831,0.675639
4.455,0.702476,0.594176,1.675138,0.966457,0.816567,0.672783
4.456667,0.699796,0.59336,1.672837,0.963192,0.814748,0.66966
4.458333,0.695131,0.592525,1.670107,0.959115000000001,0.812086,0.66685
4.46,0.68937,0.591216,1.667944,0.9534,0.80771,0.66404
4.461667,0.683562,0.58918,1.66749,0.946370000000001,0.801271,0.660751
4.463333,0.678454,0.586541,1.66937,0.939561,0.793337,0.657375
4.465,0.674431,0.583491,1.673307,0.934268,0.784947,0.654903
4.466667,0.67183,0.580003,1.677696,0.930594,0.777284,0.653808
4.468333,0.670953,0.576086,1.680177,0.927754,0.771779,0.653426
4.47,0.670968,0.571602,1.679283,0.925039000000001,0.769456,0.652539
4.471667,0.669687,0.56578,1.674917,0.922433000000001,0.769692,0.650304
4.473333,0.665581,0.55819,1.667889,0.920176000000001,0.770205,0.646249
4.475,0.659303,0.550045,1.660032,0.918117000000001,0.768904,0.640291
4.476667,0.652982,0.543562,1.65362,0.915775,0.765589,0.633813
4.478333,0.648425,0.540354,1.649583,0.913006,0.761479,0.62986
4.48,0.645856,0.540466,1.647067,0.910209,0.757556,0.631151
4.481667,0.644268,0.542463,1.645107,0.907769,0.753893,0.637665
4.483333,0.642689,0.544392,1.64375,0.905767,0.750053,0.64666
4.485,0.640832,0.544937,1.643304,0.904064,0.74565,0.65513
4.486667,0.638857,0.543947,1.643462,0.902751,0.740689,0.661237
4.488333,0.636697,0.541861,1.643505,0.902586,0.735446,0.664005
4.49,0.63372,0.538968,1.642812,0.904212,0.730381,0.663429
4.491667,0.629375,0.535693,1.641153,0.907109,0.726404,0.660564
4.493333,0.624051,0.532796,1.639037,0.909693000000001,0.724453,0.656728
4.495,0.618904,0.530261,1.637474,0.910161,0.724337,0.652685
4.496667,0.614786,0.526601,1.637141,0.907415,0.724598,0.648867
4.498333,0.611773,0.520468,1.638135,0.901729,0.723748,0.646301
4.5,0.609819,0.51252,1.64039,0.894944000000001,0.721337,0.646554
4.501667,0.60901,0.50466,1.643649,0.889587000000001,0.717863,0.650604
4.503333,0.608944,0.498199,1.646874,0.88701,0.713949,0.657856
4.505,0.608623,0.493461,1.648687,0.886417000000001,0.709928,0.665502
4.506667,0.607131,0.490289,1.648801,0.885732000000001,0.706129,0.669412
4.508333,0.604336,0.488182,1.648078,0.883009,0.702746,0.667059
4.51,0.60079,0.486142,1.647158,0.877563,0.699434,0.659241
4.511667,0.596918,0.483202,1.646052,0.870338,0.69566,0.648559
4.513333,0.592969,0.479393,1.645133,0.862900000000001,0.691563,0.637321
4.515,0.589409,0.475554,1.645237,0.856102000000001,0.688208,0.627072
4.516667,0.586511,0.472333,1.646499,0.85005,0.686587,0.618711
4.518333,0.584125,0.470097,1.648004,0.844866000000001,0.686443,0.612314
4.52,0.581986,0.469111,1.648661,0.840725000000001,0.686235,0.606953
4.521667,0.579711,0.468859,1.648078,0.837583,0.684216,0.601236
4.523333,0.577057,0.468062,1.646801,0.835607,0.679796,0.594409
4.525,0.574465,0.46623,1.645732,0.835296,0.673825,0.586798
4.526667,0.572719,0.464402,1.64538,0.836378000000001,0.667573,0.579586
4.528333,0.572053,0.463542,1.645902,0.837139000000001,0.662076,0.574149
4.53,0.571976,0.463009,1.647369,0.835846,0.658359,0.570738
4.531667,0.571791,0.461702,1.649556,0.832471000000001,0.657286,0.567858
4.533333,0.571134,0.459525,1.651911,0.828563000000001,0.658579,0.563454
4.535,0.570157,0.456749,1.653688,0.825740000000001,0.660585,0.556794
4.536667,0.569196,0.453268,1.654133,0.824439000000001,0.661701,0.549307
4.538333,0.568404,0.449032,1.653212,0.824234000000001,0.661509,0.543558
4.54,0.567395,0.444587,1.651829,0.824997000000001,0.660277,0.541358
4.541667,0.565257,0.44082,1.650964,0.826711,0.658457,0.542661
4.543333,0.561471,0.438307,1.650999,0.828397000000001,0.656713,0.54571
4.545,0.556575,0.43737,1.651651,0.828584,0.655236,0.54817
4.546667,0.551938,0.438113,1.652306,0.826781,0.65363,0.54872
4.548333,0.549051,0.440129,1.652533,0.823895,0.651972,0.547751
4.55,0.548305,0.442766,1.652063,0.821104,0.650748,0.546573
4.551667,0.548672,0.445245,1.6506,0.818338000000001,0.649862,0.546034
4.553333,0.548904,0.44643,1.648258,0.814631,0.648801,0.545719
4.555,0.548308,0.444983,1.646086,0.810063,0.647496,0.544563
4.556667,0.546507,0.440238,1.645927,0.806284000000001,0.646397,0.541963
4.558333,0.543438,0.43331,1.649203,0.805247,0.645869,0.538033
4.56,0.539568,0.426558,1.655382,0.807649000000001,0.645944,0.533555
4.561667,0.535811,0.421204,1.662237,0.812101,0.646509,0.530073
4.563333,0.533312,0.416789,1.667778,0.816177000000001,0.647286,0.529147
4.565,0.53263,0.413316,1.671337,0.818367,0.64761,0.531077
4.566667,0.533042,0.411671,1.673224,0.818692,0.646587,0.534703
4.568333,0.533566,0.411862,1.673938,0.818203,0.643865,0.538396
4.57,0.53389,0.412875,1.673865,0.818215,0.640307,0.541017
4.571667,0.534008,0.414039,1.673792,0.819183000000001,0.637391,0.542417
4.573333,0.534232,0.415194,1.675118,0.820193000000001,0.635789,0.543285
4.575,0.535037,0.415742,1.678879,0.820042000000001,0.635136,0.543909
4.576667,0.536591,0.414725,1.684587,0.818631000000001,0.635053,0.543347
4.578333,0.538961,0.412078,1.690573,0.816862,0.635498,0.540391
4.58,0.541892,0.409019,1.695754,0.815707000000001,0.636342,0.534967
4.581667,0.544301,0.407056,1.700406,0.815799,0.637371,0.528482
4.583333,0.545202,0.406842,1.705185,0.817239000000001,0.638419,0.523181
4.585,0.544773,0.407962,1.710366,0.819262,0.639254,0.520882
4.586667,0.543838,0.4098,1.716258,0.820536000000001,0.639974,0.521742
4.588333,0.543165,0.412322,1.723486,0.820402000000001,0.641486,0.524159
4.59,0.54332,0.415861,1.732379,0.819603000000001,0.644883,0.526071
4.591667,0.544475,0.420384,1.74236,0.819457000000001,0.650381,0.526376
4.593333,0.546612,0.425206,1.752236,0.820729,0.65717,0.525475
4.595,0.54968,0.42939,1.761128,0.823527,0.663987,0.524851
4.596667,0.553064,0.43219,1.768697,0.827553,0.669653,0.526081
4.598333,0.555994,0.43328,1.774646,0.831968000000001,0.67364,0.52964
4.6,0.55888,0.432911,1.778751,0.835347000000001,0.676347,0.534419
4.601667,0.562961,0.431607,1.78136,0.836441000000001,0.678533,0.538727
4.603333,0.568487,0.429647,1.78337,0.835266000000001,0.680694,0.541547
4.605,0.574314,0.427342,1.785919,0.833194000000001,0.68312,0.542735
4.606667,0.579287,0.425573,1.790591,0.831967000000001,0.685898,0.542744
4.608333,0.583207,0.425012,1.799022,0.832819000000001,0.688859,0.542429
4.61,0.586583,0.42495,1.811558,0.836185,0.692019,0.542681
4.611667,0.589987,0.423856,1.826868,0.841591,0.695864,0.543642
4.613333,0.593728,0.421049,1.842594,0.847600000000001,0.700946,0.544503
